City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
198,geidam,12.897,11.9304,34.82,33,69,3.32,NG,1689956205
199,howard springs,-12.497,131.047,22.95,64,6,1.03,AU,1689956205
200,ibarreta,-25.2144,-59.8585,33.47,28,13,8.57,AR,1689956205
201,tiksi,71.6872,128.8694,5.53,74,100,3.31,RU,1689956206
202,port elizabeth,-33.918,25.5701,18.94,72,0,2.57,ZA,1689956004
203,east london,-33.0153,27.9116,14.52,67,0,4.63,ZA,1689956206
204,norrtalje,59.758,18.705,17.1,52,99,2.97,SE,1689956206
205,xining,36.6167,101.7667,14.55,51,1,0.69,CN,1689956150
206,el nido,11.1858,119.3956,26.71,87,97,5.32,PH,1689956206
207,aktau,43.65,51.2,31.32,38,0,2.22,KZ,1689956206
208,natal,-5.795,-35.2094,29.36,61,40,9.26,BR,1689956206
209,coquimbo,-29.9533,-71.3436,14.85,72,75,1.03,CL,1689956206
210,salida,37.7058,-121.0849,28.41,45,0,3.6,US,1689956090
211,port alfred,-33.5906,26.891,17.05,61,63,8.49,ZA,1689956207
212,kotlas,61.2611,46.6556,13.29,96,100,3.49,RU,1689956207
213,sinabang,2.4803,96.3801,26.71,81,45,1.7,ID,1689956207
214,anshun,26.25,105.9333,18.87,95,95,0.93,CN,1689956207
215,kabansk,52.0486,106.6528,12.04,82,13,0.59,RU,1689956207
216,guerrero negro,27.9769,-114.0611,21.81,71,100,4.97,MX,1689956207
217,lubang,13.8584,120.124,28.63,77,68,2.54,PH,1689956208
218,puerto wilches,7.3483,-73.896,33.41,47,95,1.2,CO,1689956208
219,hamilton,39.1834,-84.5333,26.6,66,20,3.6,US,1689955685
220,tondano,1.3038,124.9112,23.05,94,20,1.88,ID,1689956208
221,praia da vitoria,38.7333,-27.0667,22.14,94,40,0.64,PT,1689956028
222,la punta,-33.1837,-66.3127,22.71,32,100,8.47,AR,1689956209
223,dawei,14.0833,98.2,25.32,91,99,1.55,MM,1689956209
224,lesnoy,57.6198,63.0784,17.21,69,79,3.2,RU,1689956209
225,cabo san lucas,22.8909,-109.9124,35.61,63,0,2.06,MX,1689955812
226,uturoa,-16.7333,-151.4333,24.52,62,82,6.73,PF,1689955983
227,tubarjal,30.4999,38.216,37.63,12,0,2.93,SA,1689956209
228,utrik,11.2278,169.8474,28.15,79,93,8.53,MH,1689956209
229,maceio,-9.6658,-35.7353,27.69,65,75,6.69,BR,1689956209
230,champerico,14.3,-91.9167,34.3,65,35,1.78,GT,1689956210
231,khanty-mansiysk,61.0042,69.0019,19.06,100,87,0.0,RU,1689956210
232,salalah,17.0151,54.0924,26.05,100,100,3.09,OM,1689956210
233,guapiles,10.2159,-83.7866,32.94,71,90,2.05,CR,1689956210
234,mahanje,-9.9333,35.3333,18.13,71,88,0.98,TZ,1689956210
235,sandnessjoen,66.0217,12.6316,19.29,77,40,4.63,NO,1689956017
236,acarau,-2.8856,-40.12,31.09,46,6,7.56,BR,1689956049
237,usogorsk,63.4106,48.6872,17.89,82,73,1.98,RU,1689956210
238,newman,37.3138,-121.0208,28.19,19,0,2.47,US,1689956055
239,cidreira,-30.1811,-50.2056,19.73,76,0,5.56,BR,1689956079
240,noosa heads,-26.3833,153.15,12.41,59,5,3.73,AU,1689956211
241,florence,43.7667,11.25,33.82,46,0,4.12,IT,1689956153
242,camana,-16.6228,-72.7111,20.53,66,2,4.58,PE,1689956211
243,fortuna,40.5982,-124.1573,14.25,98,100,2.06,US,1689955850
244,atafu village,-8.5421,-172.5159,28.59,73,96,4.3,TK,1689955978
245,parabel',58.6978,81.4825,19.69,83,85,3.05,RU,1689956211
246,horta,38.5333,-28.6333,21.8,88,75,2.57,PT,1689956212
247,hithadhoo,-0.6,73.0833,28.44,78,89,5.47,MV,1689955974
248,kristiansund,63.1115,7.732,14.03,82,75,2.57,NO,1689956212
249,alice springs,-23.7,133.8833,4.75,81,0,0.0,AU,1689956032
250,zeya,53.75,127.2667,12.57,80,0,2.0,RU,1689956212
251,bikenibeu village,1.3673,173.1241,25.98,94,75,1.03,KI,1689956212
252,minas de marcona,-15.2119,-75.1103,18.68,56,6,5.73,PE,1689955993
253,palikir - national government center,6.9248,158.1611,27.11,83,96,6.03,FM,1689955949
254,tuy hoa,13.0833,109.3,26.24,90,100,0.6,VN,1689956213
255,shwebo,22.5667,95.7,28.27,77,100,1.96,MM,1689956213
256,egilsstadir,65.2653,-14.3948,17.95,48,40,5.66,IS,1689956213
257,codrington,-38.2667,141.9667,8.68,85,99,4.41,AU,1689956213
258,hermanus,-34.4187,19.2345,10.45,65,27,2.03,ZA,1689956213
259,ulaangom,49.9811,92.0667,18.39,58,24,1.14,MN,1689956213
260,masterton,-40.9597,175.6575,7.36,91,91,4.34,NZ,1689956213
261,constantia,44.1833,28.65,27.61,65,0,5.24,RO,1689956213
262,kiunga,-6.1219,141.2906,22.85,97,100,1.68,PG,1689956214
263,sikonge,-5.6333,32.7667,24.88,24,0,2.73,TZ,1689956214
264,crane,31.3974,-102.3501,31.58,35,15,7.3,US,1689956214
265,muroto-misakicho,33.2833,134.15,25.73,88,2,2.54,JP,1689956055
266,ivankiv,50.9386,29.8943,21.65,51,89,3.27,UA,1689956214
267,inhambane,-23.865,35.3833,19.99,68,75,5.66,MZ,1689956214
268,tayaman,13.2295,120.5726,26.95,83,92,1.55,PH,1689956067
269,mogadishu,2.0371,45.3438,25.24,88,55,8.46,SO,1689956215
270,madera,37.1666,-119.8343,36.65,31,0,1.68,US,1689956116
271,el calafate,-50.3408,-72.2768,-0.65,92,100,2.22,AR,1689956215
